Distancia,Latitud,Longitud,BAZ,Magnitud,Estacion,TiempoInicio,TiempoFin
-57.5044403076,-28.7560911501,-71.6720259863,158.983553914,3.04,CO10,2021-07-04T00:30:29.000000Z,2021-07-04T00:33:25.975000Z
61.1511878967,-29.1265391621,-72.0759945718,281.77806085,6.57,CO10,2021-07-04T01:01:35.000000Z,2021-07-04T01:08:57.975000Z
63.2227325439,-29.5476614022,-72.0097441159,237.291262937,4.54,CO10,2021-07-04T01:09:01.000000Z,2021-07-04T01:13:09.975000Z
-57.0153045654,-29.6299297808,-71.0768770444,319.290224753,4.16,CO10,2021-07-04T01:13:11.000000Z,2021-07-04T01:17:31.975000Z
87.6106414795,-30.0211323387,-71.6030199557,189.005103996,3.61,CO10,2021-07-04T01:17:33.000000Z,2021-07-04T01:18:33.975000Z
80.0103302002,-29.0731172771,-70.6609225957,76.7818994038,3.36,CO10,2021-07-04T01:18:35.000000Z,2021-07-04T01:19:47.975000Z
85.5089950562,-29.6311495176,-72.2208604685,239.396272597,3.5,CO10,2021-07-04T01:20:25.000000Z,2021-07-04T01:21:09.975000Z
63.9014549255,-28.9743230187,-72.0431657443,297.361875102,3.24,CO10,2021-07-04T01:21:27.000000Z,2021-07-04T01:22:37.975000Z
64.6469192505,-29.7986991992,-71.6543637446,196.820670897,3.77,CO10,2021-07-04T01:22:39.000000Z,2021-07-04T01:25:09.975000Z
59.7823143005,-29.7387835946,-71.2247656506,157.538559093,4.17,CO10,2021-07-04T01:25:15.000000Z,2021-07-04T01:27:57.975000Z
82.0107955933,-29.7926293099,-70.897684374,138.39643485,3.28,CO10,2021-07-04T01:27:59.000000Z,2021-07-04T01:28:47.975000Z
71.2097930908,-29.8696472576,-71.3118557889,168.335804095,6.53,CO10,2021-07-04T01:29:13.000000Z,2021-07-04T01:38:31.975000Z
23.4339294434,-29.3775653937,-71.644597146,229.565690608,4.27,CO10,2021-07-04T01:39:19.000000Z,2021-07-04T01:42:15.975000Z
84.2255172729,-29.4900950856,-72.2802300012,250.629119744,4.31,CO10,2021-07-04T01:42:27.000000Z,2021-07-04T01:44:37.975000Z
23.20362854,-29.1317836898,-71.6646942272,301.258989797,3.84,CO10,2021-07-04T01:44:39.000000Z,2021-07-04T01:47:39.975000Z
26.2722396851,-29.3094423767,-71.7195524234,253.044903012,3.67,CO10,2021-07-04T01:47:41.000000Z,2021-07-04T01:50:17.975000Z
-7.58777523041,-29.2745741596,-71.3931154076,299.799979428,4.5,CO10,2021-07-04T01:50:19.000000Z,2021-07-04T01:55:03.975000Z
48.4396209717,-28.9797033118,-71.8601468024,306.551211611,3.3,CO10,2021-07-04T01:55:05.000000Z,2021-07-04T01:56:41.975000Z
-42.3110351563,-29.582021188,-71.2659641581,333.492346377,4.58,CO10,2021-07-04T01:56:43.000000Z,2021-07-04T02:00:35.975000Z
23.6972351074,-29.4516178165,-71.4218850195,170.816433179,3.46,CO10,2021-07-04T02:00:37.000000Z,2021-07-04T02:03:35.975000Z
47.7850341797,-29.533185658,-71.8223668654,227.165357228,3.02,CO10,2021-07-04T02:03:53.000000Z,2021-07-04T02:05:21.975000Z
16.9759674072,-29.2670086889,-71.6328981085,260.017542607,4.28,CO10,2021-07-04T02:05:25.000000Z,2021-07-04T02:07:45.975000Z
-3.24676442146,-29.2169665677,-71.441093308,216.318702637,4.59,CO10,2021-07-04T02:07:47.000000Z,2021-07-04T02:11:01.975000Z
53.3388900757,-28.9062383443,-71.8548830157,313.910002782,4.05,CO10,2021-07-04T02:11:03.000000Z,2021-07-04T02:13:23.975000Z
-4.80034542084,-29.2049963612,-71.4327102739,214.782552112,3.42,CO10,2021-07-04T02:13:25.000000Z,2021-07-04T02:17:13.975000Z
6.86125278473,-29.1996866717,-71.5138561543,311.320923954,4.6,CO10,2021-07-04T02:17:37.000000Z,2021-07-04T02:21:37.975000Z
40.3689041138,-29.4332749323,-71.8135750811,237.968243967,3.74,CO10,2021-07-04T02:21:39.000000Z,2021-07-04T02:24:17.975000Z
-0.599135637283,-29.2385302885,-71.4551625244,247.832047996,3.31,CO10,2021-07-04T02:24:35.000000Z,2021-07-04T02:27:11.975000Z
88.7084732056,-29.8924040376,-71.9919849108,215.332095472,3.13,CO10,2021-07-04T02:27:33.000000Z,2021-07-04T02:28:21.975000Z
2.63082194328,-29.2244869033,-71.4807711229,312.651499446,4.27,CO10,2021-07-04T02:28:23.000000Z,2021-07-04T02:32:43.975000Z
65.2837295532,-29.5871822568,-70.9169964152,126.183769746,3.57,CO10,2021-07-04T02:32:47.000000Z,2021-07-04T02:35:05.975000Z
83.2686843872,-29.9073054591,-71.0649343623,152.663252026,3.73,CO10,2021-07-04T02:35:17.000000Z,2021-07-04T02:37:19.975000Z
88.4367675781,-29.7255953117,-72.184913791,232.383580773,3.6,CO10,2021-07-04T02:38:33.000000Z,2021-07-04T02:39:09.975000Z
82.0015563965,-29.9446650318,-71.7205970741,197.805215345,3.85,CO10,2021-07-04T02:39:25.000000Z,2021-07-04T02:41:35.975000Z
95.2051467896,-29.7954295677,-70.7112616145,130.425003032,3.57,CO10,2021-07-04T02:41:41.000000Z,2021-07-04T02:42:15.975000Z
76.4789123535,-29.2477014729,-72.2475761696,269.21564908,3.79,CO10,2021-07-04T02:42:21.000000Z,2021-07-04T02:44:23.975000Z
84.3650283813,-29.6770969517,-72.1733121493,234.828433326,3.23,CO10,2021-07-04T02:44:25.000000Z,2021-07-04T02:45:21.975000Z
86.0715408325,-28.9922073634,-72.2987556059,288.448177707,3.96,CO10,2021-07-04T02:45:51.000000Z,2021-07-04T02:48:07.975000Z
86.556678772,-28.6411492148,-72.0299524124,319.996165785,3.9,CO10,2021-07-04T02:48:11.000000Z,2021-07-04T02:49:31.975000Z
85.8971252441,-29.8910475313,-71.9426528302,212.804611291,3.23,CO10,2021-07-04T02:49:33.000000Z,2021-07-04T02:50:25.975000Z
45.2554855347,-29.4724259647,-71.8444910462,235.304196983,3.5,CO10,2021-07-04T02:51:03.000000Z,2021-07-04T02:54:07.975000Z
33.658416748,-29.5162744204,-71.315563039,155.257030024,3.13,CO10,2021-07-04T02:55:23.000000Z,2021-07-04T02:56:55.975000Z
-26.3372039795,-29.4278754885,-71.2940147363,322.066204877,5.22,CO10,2021-07-04T02:56:59.000000Z,2021-07-04T03:02:27.975000Z
83.2643585205,-29.985690216,-71.5697710939,187.250961153,4.0,CO10,2021-07-04T03:02:29.000000Z,2021-07-04T03:04:05.975000Z
92.6206512451,-30.0571479963,-71.6636932402,192.191168677,3.55,CO10,2021-07-04T03:05:25.000000Z,2021-07-04T03:06:05.975000Z
-62.1357421875,-29.7732842132,-71.2613731066,341.911182907,4.93,CO10,2021-07-04T03:07:09.000000Z,2021-07-04T03:12:51.975000Z
87.5155487061,-29.9284286313,-71.9042791976,209.289427113,4.06,CO10,2021-07-04T03:12:55.000000Z,2021-07-04T03:14:39.975000Z
33.9979171753,-29.5116319366,-71.6247571063,207.864007615,3.19,CO10,2021-07-04T03:14:47.000000Z,2021-07-04T03:17:23.975000Z
81.5113677979,-29.9094582248,-71.8103863662,204.463393031,3.81,CO10,2021-07-04T03:17:55.000000Z,2021-07-04T03:20:03.975000Z
51.5164833069,-29.4877193936,-71.0115275426,122.234513387,3.19,CO10,2021-07-04T03:20:23.000000Z,2021-07-04T03:21:47.975000Z
60.4170837402,-29.1734206706,-72.077431226,276.925730539,2.88,CO10,2021-07-04T03:21:51.000000Z,2021-07-04T03:23:07.975000Z
92.3188476563,-29.9312674206,-71.9933375187,213.841584271,3.51,CO10,2021-07-04T03:23:51.000000Z,2021-07-04T03:24:33.975000Z
87.2652435303,-29.961147662,-71.0980066497,156.336022328,3.16,CO10,2021-07-04T03:24:35.000000Z,2021-07-04T03:25:19.975000Z
44.3736877441,-29.5273250399,-71.779834882,224.172696183,3.33,CO10,2021-07-04T03:25:23.000000Z,2021-07-04T03:27:41.975000Z
98.8599090576,-30.0144596931,-70.9534651529,150.319458952,3.33,CO10,2021-07-04T03:28:39.000000Z,2021-07-04T03:29:11.975000Z
49.1230163574,-29.3878180539,-71.937822199,250.477981318,3.27,CO10,2021-07-04T03:30:03.000000Z,2021-07-04T03:31:41.975000Z
36.4769287109,-29.3369197524,-71.8198256961,252.888218473,3.39,CO10,2021-07-04T03:31:43.000000Z,2021-07-04T03:33:35.975000Z
81.5117263794,-29.9475198781,-71.229242128,164.077836846,3.48,CO10,2021-07-04T03:36:55.000000Z,2021-07-04T03:37:43.975000Z
84.4421234131,-29.8360861664,-70.9175747448,141.551340209,3.17,CO10,2021-07-04T03:37:45.000000Z,2021-07-04T03:38:47.975000Z
79.7681274414,-29.0185735842,-72.2405737367,287.776606187,3.12,CO10,2021-07-04T03:39:21.000000Z,2021-07-04T03:40:09.975000Z
70.7047576904,-29.6009841269,-72.0620277737,235.449379484,3.77,CO10,2021-07-04T03:40:11.000000Z,2021-07-04T03:43:03.975000Z
97.4324874878,-29.2449851713,-72.4631455488,269.467409853,3.48,CO10,2021-07-04T03:44:13.000000Z,2021-07-04T03:44:45.975000Z
97.2715682983,-29.5372569388,-72.4039280133,250.009266417,3.48,CO10,2021-07-04T03:45:33.000000Z,2021-07-04T03:46:05.975000Z
73.4742431641,-29.7778201889,-71.9047422864,215.746045917,4.25,CO10,2021-07-04T03:46:09.000000Z,2021-07-04T03:48:29.975000Z
80.5210800171,-28.9616781617,-72.2246728109,292.389032933,3.29,CO10,2021-07-04T03:48:31.000000Z,2021-07-04T03:49:25.975000Z
40.2695541382,-29.5598885312,-71.6587535056,208.438248939,2.95,CO10,2021-07-04T03:49:27.000000Z,2021-07-04T03:50:49.975000Z
75.0894927979,-29.220380974,-72.2328794199,271.519198679,4.77,CO10,2021-07-04T03:50:59.000000Z,2021-07-04T03:55:09.975000Z
76.0773849487,-29.476782195,-72.1965021848,249.689968733,2.96,CO10,2021-07-04T03:55:35.000000Z,2021-07-04T03:56:31.975000Z
